Anno;Codice Regione;Descrizione Regione;Codice ASL territoriale;Denominazione ASL territoriale;Codice Azienda;Codice struttura;Denominazione struttura;Partita IVA;Indirizzo;CAP;Comune;Sigla provincia;Codice Comune;Telefono;Sito web;E-mail;Codice Tipo struttura;Descrizione tipo struttura;Giorno apertura;Mese apertura;Anno apertura;Subcodice struttura interna;Denominazione struttura interna;Partita IVA struttura interna;Indirizzo struttura interna;CAP struttura interna;Comune struttura interna;Sigla provincia struttura interna;Codice Comune struttura interna;Telefono struttura interna;Sito web struttura interna;E-mail struttura interna;Giorno apertura struttura interna;Mese apertura struttura interna;Anno apertura struttura interna
2023;010;PIEMONTE;203;TO3;904;010904;AZIENDA OSPEDALIERO UNIVERSITARIA S.LUIG;02698540016;REGIONE GONZOLE 10;10043;ORBASSANO;TO;001171;011 90261 ;WWW.SANLUIGI.PIEMONTE.IT;DIREZIONE.GENERALE@SANLUIGI.PIEMONTE.IT;2.2;Azienda Ospedaliera integrata con l'Universit‡;01;01;1981;;;;;;;;;;;;;;
2023;010;PIEMONTE;203;TO3;203;010030;OSPEDALI RIUNITI PINEROLO;09735650013;VIA BRIGATA CAGLIARI 39;10064;PINEROLO ;TO;001191;012 12331 ;WWW.ASLTO3.PIEMONTE.IT;DIRSAN.OSP.PINEROLO@ASLTO3.PIEMONTE.IT;1;Ospedale a gestione diretta;01;01;1988;01;"OSPEDALE CIVILE ""E.AGNELLI""";09735650013;VIA BRIGATA CAGLIARI 39;10064;PINEROLO ;TO;001191;012 12331 ;WWW.ASLTO3.PIEMONTE.IT;DIRSAN.OSP.PINEROLO@ASLTO3.PIEMONTE.IT;01;01;1988
2023;010;PIEMONTE;203;TO3;203;010030;OSPEDALI RIUNITI PINEROLO;09735650013;VIA BRIGATA CAGLIARI 39;10064;PINEROLO ;TO;001191;012 12331 ;WWW.ASLTO3.PIEMONTE.IT;DIRSAN.OSP.PINEROLO@ASLTO3.PIEMONTE.IT;1;Ospedale a gestione diretta;01;01;1988;03;OSPEDALE DI POMARETTO ;09735650013;VIA RIBET MAGGIORE 2;10063;POMARETTO;TO;001198;012 12331 ;WWW.ASLTO3.PIEMONTE.IT;DIRSAN.OSP.PINEROLO@ASLTO3.PIEMONTE.IT;01;01;2009
2023;010;PIEMONTE;203;TO3;203;010079;OSPEDALI RIUNITI RIVOLI;09735650013;VIA RIVALTA 29;10098;RIVOLI ;TO;001219;011 95511 ;WWW.ASLTO3.PIEMONTE.IT;DIRSAN.OSP.RIVOLI@ASLTO3.PIEMONTE.IT;1;Ospedale a gestione diretta;01;01;1988;01;OSPEDALE DEGLI INFERMI;09735650013;VIA RIVALTA 29;10098;RIVOLI ;TO;001219;011 95511 ;WWW.ASLTO3.PIEMONTE.IT;DIRSAN.OSP.RIVOLI@ASLTO3.PIEMONTE.IT;01;01;1988
2023;010;PIEMONTE;203;TO3;203;010079;OSPEDALI RIUNITI RIVOLI;09735650013;VIA RIVALTA 29;10098;RIVOLI ;TO;001219;011 95511 ;WWW.ASLTO3.PIEMONTE.IT;DIRSAN.OSP.RIVOLI@ASLTO3.PIEMONTE.IT;1;Ospedale a gestione diretta;01;01;1988;04;OSPEDALE CIVILE DI SUSA;09735650013;CORSO INGHILTERRA 66;10059;SUSA ;TO;001270;012 2621212 ;WWW.ASLTO3.PIEMONTE.IT;DIRSAN.OSP.SUSA@ASLTO3.PIEMONTE.IT;01;01;1988
2023;010;PIEMONTE;203;TO3;203;010079;OSPEDALI RIUNITI RIVOLI;09735650013;VIA RIVALTA 29;10098;RIVOLI ;TO;001219;011 95511 ;WWW.ASLTO3.PIEMONTE.IT;DIRSAN.OSP.RIVOLI@ASLTO3.PIEMONTE.IT;1;Ospedale a gestione diretta;01;01;1988;05;OSPEDALE DI VENARIA ;09735650013;VIA DON SAPINO GIOVANNI BATTISTA 152;10078;VENARIA REALE;TO;001292;011 49911 ;WWW.ASLTO3.PIEMONTE.IT;DIRSAN.OSP.VENARIA@ASLTO3.PIEMONTE.IT;01;07;2008
2023;010;PIEMONTE;203;TO3;203;010614;CASA DI CURA VILLE AUGUSTA - S.R.L.;01213590019;VIA PINEROLO SUSA 15;10090;BRUINO ;TO;001038;011 9087141 ;;DIREZIONEAMMINISTRATIVA@VILLEAUGUSTA.IT;5.1;Casa di cura privata accreditata;05;02;1958;;;;;;;;;;;;;;
2023;010;PIEMONTE;203;TO3;203;010615;CASA DI CURA VILLA PATRIZIA - S.R.L.;01728640010;REGIONE GIORDA 6/8;10045;PIOSSASCO;TO;001194;011 9042129 ;;CDCVIPAT@TIN.IT;5.1;Casa di cura privata accreditata;01;07;1968;;;;;;;;;;;;;;
2023;010;PIEMONTE;203;TO3;203;010621;CASA DI CURA VILLA SERENA - S.P.A. ;01822850010;VIA MAGENTA 45;10045;PIOSSASCO;TO;001194;011 9039888 ;WWW.VILLASERENAPIOSSASCO.IT;POSTA@VILLASERENAPIOSSASCO.IT;5.1;Casa di cura privata accreditata;01;06;1954;;;;;;;;;;;;;;
2023;010;PIEMONTE;203;TO3;203;010623;VILLA PAPA GIOVANNI XXIII;00491660015;VIA SAN GILLIO 75 ;10044;PIANEZZA ;TO;001189;011 9675075 ;WWW.XXIII.IT;PAPA.GIOVANNI@XXIII.IT;5.1;Casa di cura privata accreditata;01;01;1981;;;;;;;;;;;;;;
